school_year,dpi_true_id,lat,long,school_name,accurate_agency_type,grade_band,school_enrollment,ELA,Mathematics,overall_rating,overall_score,sch_ach,sch_growth,per_ed,per_swd,per_lep,per_b_aa,per_hisp_lat
2023-24,3619_0223,42.985648979892,-87.902343025386,Humboldt Park Elementary,Milwaukee Public School,K-8,589,0.342,0.336,Exceeds Expectations,75.3,45.8,87.9,0.852,0.178,0.43,0.121,0.26
2023-24,3619_0226,43.139532005014,-88.009689975534,Milwaukee Sign Language Elementary,Milwaukee Public School,K-8,414,0.068,0.047,Fails to Meet Expectations,46.5,10.9,52.7,0.923,0.213,0.002,0.838,0.068
2023-24,3619_0232,43.021556005358,-87.927332999151,Kagel Elementary,Milwaukee Public School,K-8,267,0.133,0.071,Meets Expectations,63.1,17.5,73.6,0.895,0.232,0.633,0.086,0.895
2023-24,3619_0235,43.082462015134,-87.931552030114,Keefe Avenue Elementary,Milwaukee Public School,K-5,127,0.087,0.022,Meets Few Expectations,56.2,10,66,0.961,0.181,0,0.921,0.039
2023-24,3619_0236,43.047689019259,-87.947240019193,Groppi High,Milwaukee Public School,9-12,102,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.873,0.245,0.02,0.873,0.078
2023-24,3619_0237,43.115184001213,-87.995420958845,Kilbourn Elementary,Milwaukee Public School,K-5,258,0.149,0.134,Meets Expectations,58.8,25.9,63.2,0.953,0.205,0,0.895,0.05
2023-24,3619_0238,43.077256015072,-87.92289302122,LaFollette Elementary,Milwaukee Public School,K-8,218,0.029,0.038,Meets Few Expectations,53.8,7.2,70.8,0.94,0.225,0.014,0.899,0.06
2023-24,3619_0241,43.10765198111,-87.996838003396,Lancaster Elementary,Milwaukee Public School,K-8,331,0.041,0.035,Fails to Meet Expectations,35,4.6,43.2,0.9,0.157,0.006,0.855,0.048
2023-24,3619_0250,43.002359980253,-87.936061996937,Lincoln Avenue Elementary,Milwaukee Public School,K-5,416,0.124,0.168,Meets Expectations,60.2,20.9,71.7,0.928,0.202,0.442,0.13,0.8
2023-24,3619_0253,43.07074801208,-87.931974980948,Hopkins Lloyd Community School,Milwaukee Public School,K-5,128,0.109,0.109,Meets Few Expectations,49.8,6.2,58.4,0.953,0.172,0,0.945,0.016
2023-24,3619_0256,43.02024599771,-87.939995959373,Longfellow Elementary,Milwaukee Public School,K-8,718,0.19,0.106,Meets Expectations,68,22.2,78.4,0.879,0.287,0.425,0.159,0.769
2023-24,3619_0257,42.96523900375,-87.938353022532,Lowell International Elementary,Milwaukee Public School,K-5,206,0.529,0.514,Meets Expectations,65.5,47.2,66,0.927,0.18,0.204,0.204,0.495
2023-24,3619_0265,42.991381992116,-87.965894028529,Manitoba Elementary,Milwaukee Public School,K-8,445,0.158,0.113,Meets Few Expectations,50.1,15.3,57.5,0.876,0.276,0.171,0.24,0.434
2023-24,3619_0267,43.138866984816,-88.044360041639,Maple Tree Elementary,Milwaukee Public School,K-5,264,0.137,0.096,Exceeds Expectations,71.1,16.3,87.9,0.943,0.223,0.008,0.833,0.072
2023-24,3619_0268,43.062078986811,-87.882477998679,Maryland Montessori,Milwaukee Public School,K-8,515,0.684,0.506,Exceeds Expectations,79.7,69.4,90.6,0.26,0.14,0.006,0.155,0.099
2023-24,3619_0274,43.01180998935,-87.941859004992,Mitchell Elementary,Milwaukee Public School,K-8,613,0.083,0.077,Fails to Meet Expectations,44.1,16,44.2,0.917,0.245,0.447,0.157,0.763
2023-24,3619_0277,42.978550010816,-87.935707023337,Morgandale Elementary,Milwaukee Public School,K-8,578,0.258,0.205,Exceeds Expectations,72.1,27.3,87.9,0.882,0.213,0.36,0.142,0.566
2023-24,3619_0283,43.051821004158,-87.983439028255,Neeskara Elementary,Milwaukee Public School,K-5,371,0.097,0.091,Meets Expectations,64.8,18.5,80.3,0.922,0.261,0.003,0.717,0.108
2023-24,3619_0289,43.08421798194,-88.030375003829,Ninety-Fifth Street Elementary,Milwaukee Public School,K-5,424,0.25,0.267,Meets Expectations,59.1,35.6,59.4,0.795,0.172,0.005,0.608,0.127
2023-24,3619_0295,42.989107981785,-87.925762984867,Zablocki Elementary,Milwaukee Public School,K-5,295,0.207,0.091,Fails to Meet Expectations,31.2,24.6,22.3,0.905,0.281,0.261,0.102,0.556
2023-24,3619_0301,43.111342994082,-88.047853032149,Parkview Elementary,Milwaukee Public School,K-5,335,0.183,0.262,Meets Few Expectations,53.1,24.3,60.3,0.89,0.179,0.275,0.519,0.042
2023-24,3619_0307,43.069023016407,-87.902145966842,Riverwest Elementary,Milwaukee Public School,K-5,275,0.109,0.064,Fails to Meet Expectations,42.4,11.6,52.7,0.96,0.211,0.007,0.782,0.098
2023-24,3619_0312,43.057107009486,-87.945740999629,Starms Discovery,Milwaukee Public School,K-8,230,0.104,0.03,Fails to Meet Expectations,47.7,8.7,61.3,0.965,0.261,0,0.904,0.07
2023-24,3619_0313,43.001098000911,-87.914843963419,Riley Dual Language Montessori School,Milwaukee Public School,K-5,265,0.211,0.123,Meets Few Expectations,57.5,22.7,57.5,0.653,0.147,0.328,0.057,0.826
2023-24,3619_0316,42.976544011839,-88.0108529646,Academy of Accelerated Learning,Milwaukee Public School,K-5,538,0.453,0.458,Exceeds Expectations,73.4,55,73.6,0.764,0.201,0.149,0.141,0.331
2023-24,3619_0319,43.072289988898,-87.977988025163,Sherman Elementary,Milwaukee Public School,K-8,242,0.089,0,Fails to Meet Expectations,44.8,9.5,54.6,0.893,0.19,0,0.909,0.041
2023-24,3619_0325,43.110724996361,-87.933480035483,Pratt Elementary,Milwaukee Public School,K-5,309,0.14,0.18,Meets Few Expectations,54.4,18.1,63.2,0.922,0.181,0,0.906,0.026
2023-24,3619_0334,42.979390003243,-87.995008988304,Honey Creek Elementary,Milwaukee Public School,K-5,354,0.355,0.355,Meets Expectations,65.4,47.5,67.9,0.884,0.246,0.031,0.201,0.438
2023-24,3619_0337,43.122118014433,-87.994074992833,Kluge Elementary,Milwaukee Public School,K-5,344,0.141,0.106,Meets Few Expectations,49.9,15.1,60.3,0.945,0.317,0.023,0.828,0.049
2023-24,3619_0343,43.041310013757,-87.961546000075,Story Elementary,Milwaukee Public School,K-8,385,0.097,0.044,Meets Few Expectations,52.3,13.4,59.4,0.912,0.112,0.281,0.743,0.052
2023-24,3619_0344,43.145285008077,-88.01872801409,Stuart Elementary,Milwaukee Public School,K-5,295,0.305,0.298,Fails to Meet Expectations,46.9,32.6,48.9,0.915,0.18,0.064,0.583,0.061
2023-24,3619_0356,43.050862994534,-87.958090979586,Bethune Academy,Milwaukee Public School,K-8,525,0.161,0.107,Meets Expectations,66.6,19.1,76.5,0.979,0.183,0.406,0.579,0.032
2023-24,3619_0360,43.161026012693,-87.983915958546,Thoreau Elementary,Milwaukee Public School,K-8,357,0.151,0.067,Fails to Meet Expectations,45.3,17.6,54.6,0.986,0.137,0.011,0.871,0.056
2023-24,3619_0362,42.991085985206,-87.905154986263,Milwaukee Parkside School,Milwaukee Public School,K-8,853,0.374,0.274,Meets Expectations,68.6,39.8,75.5,0.77,0.249,0.142,0.181,0.411
2023-24,3619_0365,43.080511001442,-87.966553013756,Townsend Street Elementary,Milwaukee Public School,K-8,299,0.05,0,Fails to Meet Expectations,46.2,6.3,51.8,0.903,0.174,0,0.893,0.047
2023-24,3619_0368,42.991926983461,-87.885273028112,Trowbridge Street School of Great Lakes Studies,Milwaukee Public School,K-8,236,0.252,0.298,Exceeds Expectations,70.2,37.7,77.4,0.856,0.22,0.013,0.25,0.432
2023-24,3619_0377,43.068760998113,-87.939334962489,Jackson Elementary,Milwaukee Public School,K-5,216,0.056,0.042,Meets Expectations,68.8,9.4,84.1,0.958,0.241,0.009,0.903,0.056
2023-24,3619_0387,42.936646990914,-87.943024005714,Victory Elementary,Milwaukee Public School,K-8,421,0.235,0.192,Meets Expectations,66.9,29.8,73.6,0.99,0.102,0.473,0.116,0.221
2023-24,3619_0390,43.022723981656,-87.915946016049,Vieau Elementary,Milwaukee Public School,K-8,684,0.224,0.195,Meets Expectations,67.9,31.8,70.8,0.909,0.221,0.586,0.048,0.92
2023-24,3619_0397,42.968453002613,-87.982215018935,Whitman Elementary,Milwaukee Public School,K-8,331,0.306,0.325,Meets Expectations,65.5,38.6,72.7,0.789,0.236,0.073,0.215,0.387
2023-24,3619_0398,42.964760019893,-87.913806032349,Whittier Elementary,Milwaukee Public School,K-5,142,0.684,0.632,Significantly Exceeds Expectations,89,74.9,91.7,0.62,0.141,0.085,0.204,0.31
2023-24,3619_0399,43.043748016024,-87.927991984379,Wisconsin Conservatory of Lifelong Learning,Milwaukee Public School,K-12,431,0.02,0.005,Fails to Meet Expectations,39.6,7.6,59.4,0.923,0.188,0.032,0.884,0.03
2023-24,3619_0407,43.011946991557,-87.953412033596,Carmen High School of Science and Technology South Campus,Public Charter School,9-12,399,0.317,0.24,Exceeds Expectations,72.7,36.3,73.6,0.905,0.09,0.594,0.023,0.96
2023-24,3619_0409,43.126102980751,-88.013292014605,James Madison Academic Campus,Milwaukee Public School,9-12,595,0.031,0.028,Meets Few Expectations,55.5,10.2,67.9,0.879,0.255,0.017,0.894,0.032
2023-24,3619_0413,43.053613013147,-87.921578990259,Alliance School of Milwaukee,Milwaukee Public School,9-12,155,0.075,0.088,Meets Expectations,66.9,24.3,80.2,0.871,0.374,0.006,0.69,0.123
2023-24,3619_0419,43.066696996366,-87.92509100769,North Division High,Milwaukee Public School,9-12,389,0.009,0.009,Meets Few Expectations,54.5,9.8,73.6,0.907,0.283,0.005,0.915,0.046
2023-24,3619_0424,43.065221990955,-87.968280021086,WHS Information Technology,Milwaukee Public School,9-12,379,0.046,0.023,Meets Few Expectations,57.5,9.9,77.4,0.881,0.24,0.053,0.894,0.034
2023-24,3619_0433,43.055708991855,-87.958167003448,Transition High,Milwaukee Public School,9-12,88,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.841,0.25,0.023,0.886,0.08
2023-24,3619_0434,42.984210980583,-87.962318979186,Audubon Technology and Communication High,Milwaukee Public School,9-12,431,0.183,0.103,Meets Expectations,64.7,21.7,67,0.852,0.357,0.227,0.165,0.617
2023-24,3619_0435,42.9541090098,-87.939979027929,Reagan College Preparatory High,Milwaukee Public School,9-12,1349,0.665,0.538,Significantly Exceeds Expectations,84.9,73.6,88.8,0.561,0.116,0.103,0.087,0.491
2023-24,3619_0442,43.013399994473,-87.930643012715,South Accelerated Academy,Milwaukee Public School,9-12,48,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.875,0.229,0.146,0.417,0.479
