School Name,Sector,Grade Band,Enrollment,ELA,Math,Overall Rating,Overall Score,Achievement Score,Growth Score,Economically Disadvantaged,Students with Disabilitites,Limited English Proficiency,Black,Latino
Cristo Rey Jesuit Milwaukee High School,Private School,9-12,465,0.274,0.401,Meets Expectations,69.3,46.6,62.2,1,0.004,0.301,0.026,0.959
HAPA-Hmong American Peace Academy K3-12,Public Charter School,K-12,1894,0.448,0.475,Meets Expectations,68.9,54.2,67,0.848,0.044,0.191,0.003,0.012
Saint Peter Immanuel Lutheran School,Private School,K-8,184,0.186,0.143,Meets Expectations,68.8,33.3,81.2,0.924,0.016,0,0.859,0.071
Jackson Elementary,Milwaukee Public School,K-5,216,0.056,0.042,Meets Expectations,68.8,9.4,84.1,0.958,0.241,0.009,0.903,0.056
Milwaukee Parkside School,Milwaukee Public School,K-8,853,0.374,0.274,Meets Expectations,68.6,39.8,75.5,0.77,0.249,0.142,0.181,0.411
Riverside High,Milwaukee Public School,9-12,1162,0.126,0.08,Meets Expectations,68.1,20.8,70.8,0.846,0.211,0.144,0.682,0.183
Rocketship Southside Community Prep,Public Charter School,K-5,398,0.24,0.344,Meets Expectations,68.1,37.5,76.4,0.817,0.191,0.533,0.093,0.867
Longfellow Elementary,Milwaukee Public School,K-8,718,0.19,0.106,Meets Expectations,68,22.2,78.4,0.879,0.287,0.425,0.159,0.769
Vieau Elementary,Milwaukee Public School,K-8,684,0.224,0.195,Meets Expectations,67.9,31.8,70.8,0.909,0.221,0.586,0.048,0.92
Pius XI Catholic High School,Private School,9-12,739,0.45,0.362,Meets Expectations,67.5,58.3,60.3,0.459,0,0.019,0.307,0.317
Bradley Technology High,Milwaukee Public School,9-12,999,0.062,0.05,Meets Expectations,67.4,15.4,81.2,0.871,0.183,0.107,0.714,0.16
Burdick Elementary,Milwaukee Public School,K-8,495,0.478,0.311,Meets Expectations,67.2,42.6,69.8,0.661,0.216,0.038,0.117,0.396
Milwaukee High School of the Arts,Milwaukee Public School,9-12,985,0.229,0.1,Meets Expectations,67,25.1,69.8,0.801,0.19,0.144,0.53,0.212
Victory Elementary,Milwaukee Public School,K-8,421,0.235,0.192,Meets Expectations,66.9,29.8,73.6,0.99,0.102,0.473,0.116,0.221
Alliance School of Milwaukee,Milwaukee Public School,9-12,155,0.075,0.088,Meets Expectations,66.9,24.3,80.2,0.871,0.374,0.006,0.69,0.123
Doerfler Elementary,Milwaukee Public School,K-8,550,0.18,0.161,Meets Expectations,66.7,20.9,79.3,0.931,0.245,0.495,0.091,0.836
IDEAL Individualized Developmental Educational Approaches to Learning,Milwaukee Public School,K-8,216,0.327,0.333,Meets Expectations,66.6,41.8,70.8,0.958,0.231,0.194,0.102,0.514
Greenfield Bilingual,Milwaukee Public School,K-8,555,0.228,0.173,Meets Expectations,66.6,31.5,75.5,0.941,0.159,0.483,0.068,0.903
Bethune Academy,Milwaukee Public School,K-8,525,0.161,0.107,Meets Expectations,66.6,19.1,76.5,0.979,0.183,0.406,0.579,0.032
MacDowell Montessori School K3-12,Milwaukee Public School,K-12,860,0.332,0.194,Meets Expectations,66.5,30.6,73.6,0.656,0.188,0.005,0.517,0.109
Veritas High,Public Charter School,9-12,255,0.315,0.265,Meets Expectations,66.3,35.5,66.9,0.741,0.047,0.373,0,0.933
Saint Catherine School,Private School,K-8,123,0.158,0.158,Meets Expectations,66.2,18,84.1,0.927,0.024,0,0.976,0.008
Milwaukee French Immersion,Milwaukee Public School,K-5,431,0.411,0.356,Meets Expectations,66.2,48.7,65.1,0.657,0.077,0.053,0.606,0.07
Saint Anthony School,Private School,K-12,1509,0.246,0.168,Meets Expectations,65.9,29.8,66.9,0.999,0.038,0.549,0.015,0.974
Saint Philip's Lutheran School,Private School,K-8,92,0.353,0.382,Meets Expectations,65.7,44.3,64.1,0.924,0.054,0,0.75,0.141
Lowell International Elementary,Milwaukee Public School,K-5,206,0.529,0.514,Meets Expectations,65.5,47.2,66,0.927,0.18,0.204,0.204,0.495
Whitman Elementary,Milwaukee Public School,K-8,331,0.306,0.325,Meets Expectations,65.5,38.6,72.7,0.789,0.236,0.073,0.215,0.387
Darrell Lynn Hines Academy,Public Charter School,K-8,172,0.207,0.172,Meets Expectations,65.5,24.8,77.4,0.855,0.134,0.012,0.86,0.012
Saint Matthias Parish School,Private School,K-8,186,0.386,0.273,Meets Expectations,65.4,62.2,57.5,0.586,0.005,0.07,0.091,0.452
Honey Creek Elementary,Milwaukee Public School,K-5,354,0.355,0.355,Meets Expectations,65.4,47.5,67.9,0.884,0.246,0.031,0.201,0.438
Seeds of Health Elementary Program,Public Charter School,K-8,377,0.207,0.228,Meets Expectations,65.4,32.9,74.6,0.849,0.202,0.247,0.135,0.836
Northwest Catholic School,Private School,K-8,152,0.189,0.168,Meets Expectations,65.3,28.3,74.6,0.862,0.026,0,0.77,0.099
Eastbrook Academy,Private School,K-12,416,0.549,0.441,Meets Expectations,65.2,60.9,59.4,0.493,0,0,0.666,0.058
Cass Street Elementary,Milwaukee Public School,K-8,281,0.117,0.092,Meets Expectations,65.2,15.4,81.2,0.911,0.167,0.011,0.854,0.068
Rogers Street Academy,Milwaukee Public School,K-8,570,0.189,0.18,Meets Expectations,65.1,24.1,75.5,0.93,0.161,0.46,0.068,0.893
Garland Elementary,Milwaukee Public School,K-8,536,0.216,0.216,Meets Expectations,65.1,37.6,65.1,0.873,0.157,0.44,0.11,0.222
Milwaukee Academy of Science,Public Charter School,K-12,1404,0.14,0.139,Meets Expectations,64.9,21.4,71.7,0.947,0.097,0.001,0.969,0.017
Milwaukee Math and Science Academy,Public Charter School,K-8,244,0.153,0.061,Meets Expectations,64.9,28.8,73.6,0.873,0.094,0.098,0.939,0.033
Neeskara Elementary,Milwaukee Public School,K-5,371,0.097,0.091,Meets Expectations,64.8,18.5,80.3,0.922,0.261,0.003,0.717,0.108
Burbank Elementary,Milwaukee Public School,K-8,503,0.166,0.115,Meets Expectations,64.7,22.4,72.7,0.853,0.225,0.193,0.388,0.215
Audubon Technology and Communication High,Milwaukee Public School,9-12,431,0.183,0.103,Meets Expectations,64.7,21.7,67,0.852,0.357,0.227,0.165,0.617
Messmer Catholic Schools,Private School,K-12,1217,0.199,0.198,Meets Expectations,64.6,27.7,73.6,0.782,0.022,0.056,0.892,0.046
Blessed Sacrament Catholic School,Private School*,K-8,165,0.384,0.277,Meets Expectations,64.4,41.2,67,0.879,0.024,0.388,0.042,0.861
Believers in Christ Christian Academy,Private School*,K-12,161,0.162,0.101,Meets Expectations,63.9,22.2,67.9,0.975,0,0,0.932,0.025
Milwaukee School of Languages,Milwaukee Public School,6-12,951,0.339,0.211,Meets Expectations,63.9,35.3,69.8,0.608,0.161,0.109,0.483,0.227
Wedgewood Park School,Milwaukee Public School,6-8,552,0.319,0.24,Meets Expectations,63.7,32.3,70.8,0.77,0.19,0.246,0.23,0.574
Carmen Middle School South,Public Charter School,6-8,206,0.27,0.276,Meets Expectations,63.6,34.5,73.6,0.99,0.121,0.481,0.15,0.772
Dr Howard Fuller Collegiate Academy,Public Charter School,9-12,312,0.088,0.077,Meets Expectations,63.5,14.6,61.3,0.827,0.151,0,0.971,0.022
Kagel Elementary,Milwaukee Public School,K-8,267,0.133,0.071,Meets Expectations,63.1,17.5,73.6,0.895,0.232,0.633,0.086,0.895
Bruce Elementary,Milwaukee Public School,K-5,286,0.104,0.06,Meets Expectations,62.9,18.5,66.9,0.948,0.252,0,0.825,0.038
Kingdom Prep Lutheran High School,Private School,9-12,141,0.09,0.064,Meets Expectations,62.5,18.2,70.8,0.752,0.007,0,0.83,0.092
Clemens Elementary,Milwaukee Public School,K-5,309,0.051,0.065,Meets Expectations,62.3,15.3,76.4,0.981,0.217,0.003,0.877,0.061
Greater Holy Temple Christian Academy,Private School,K-8,428,0.112,0.027,Meets Expectations,62.2,11.9,56.5,1,0.012,0,0.939,0.04
Alcott Elementary,Milwaukee Public School,K-8,268,0.307,0.147,Meets Expectations,62.2,32.3,69.8,0.754,0.235,0.052,0.175,0.381
Pathways High,Public Charter School,9-12,171,0.324,0.171,Meets Expectations,62.2,33.8,74.6,1,0.181,0.018,0.538,0.064
Barbee Elementary,Milwaukee Public School,K-5,305,0.289,0.06,Meets Expectations,61.8,15.9,71.7,0.934,0.174,0.007,0.78,0.043
Victory Christian Academy,Private School,K-12,318,0.281,0.193,Meets Expectations,60.6,34.5,59.4,0.723,0.025,0.113,0.154,0.692
Grant Elementary,Milwaukee Public School,K-8,582,0.23,0.152,Meets Expectations,60.6,24.3,68.9,0.998,0.107,0.479,0.079,0.45
Cross Trainers Academy,Private School,K-12,482,0.121,0.074,Meets Expectations,60.4,17,69.8,0.996,0.091,0.006,0.963,0.025
Saint Joseph Academy,Private School*,K-8,427,0.209,0.121,Meets Expectations,60.2,24,60.3,0.883,0.023,0.389,0.04,0.878
Clement Avenue Elementary,Milwaukee Public School,K-8,259,0.317,0.359,Meets Expectations,60.2,37.5,66,0.819,0.224,0.015,0.124,0.463
Lincoln Avenue Elementary,Milwaukee Public School,K-5,416,0.124,0.168,Meets Expectations,60.2,20.9,71.7,0.928,0.202,0.442,0.13,0.8
Saint Josaphat Parish School,Private School,K-8,207,0.297,0.234,Meets Expectations,59.9,41.1,61.3,0.918,0.01,0.164,0.014,0.976
Tenor High,Public Charter School,9-12,627,0.178,0.194,Meets Expectations,59.9,29.9,57.5,0.721,0.144,0.234,0.268,0.638
Harold S Vincent School of Agricultural Science,Milwaukee Public School,9-12,708,0.076,0.037,Meets Expectations,59.7,15.4,71.7,0.839,0.172,0.032,0.831,0.061
La Causa Charter School,Public Charter School,K-8,570,0.154,0.122,Meets Expectations,59.3,18.8,66,0.916,0.128,0.6,0.026,0.968
Curtin Elementary,Milwaukee Public School,K-8,283,0.246,0.094,Meets Expectations,59.1,28.5,65.1,0.908,0.159,0.332,0.155,0.512
Ninety-Fifth Street Elementary,Milwaukee Public School,K-5,424,0.25,0.267,Meets Expectations,59.1,35.6,59.4,0.795,0.172,0.005,0.608,0.127
Granville Lutheran School,Private School,K-8,223,0.224,0.144,Meets Expectations,58.9,27.2,62.2,0.892,0.04,0,0.901,0.018
Kilbourn Elementary,Milwaukee Public School,K-5,258,0.149,0.134,Meets Expectations,58.8,25.9,63.2,0.953,0.205,0,0.895,0.05
Shining Star Christian Schools Inc,Private School*,K-8,208,0.079,0.059,Meets Expectations,58.6,15.2,68.9,0.981,0,0,0.875,0.072
Bryant Elementary,Milwaukee Public School,K-5,197,0.136,0.167,Meets Few Expectations,57.9,18,66.9,0.98,0.269,0,0.832,0.061
Riley Dual Language Montessori School,Milwaukee Public School,K-5,265,0.211,0.123,Meets Few Expectations,57.5,22.7,57.5,0.653,0.147,0.328,0.057,0.826
WHS Information Technology,Milwaukee Public School,9-12,379,0.046,0.023,Meets Few Expectations,57.5,9.9,77.4,0.881,0.24,0.053,0.894,0.034
Goodrich Elementary,Milwaukee Public School,K-5,288,0.204,0.214,Meets Few Expectations,57.2,22.7,66,0.917,0.26,0.007,0.684,0.052
Hope Christian School Prima,Private School*,K-8,583,0.082,0.078,Meets Few Expectations,57.1,16.4,66.9,0.919,0.014,0.003,0.961,0.017
Hope Christian School Semper,Private School*,K-8,572,0.086,0.083,Meets Few Expectations,57.1,18.9,67.9,0.969,0.009,0,0.97,0.019
Carmen High School of Science and Technology Southeast Campus,Public Charter School,9-12,676,0.169,0.131,Meets Few Expectations,57.1,23.2,52.7,0.981,0.123,0.448,0.041,0.928
Milwaukee Lutheran High School,Private School,9-12,920,0.144,0.128,Meets Few Expectations,56.5,27.7,49.8,0.821,0,0,0.868,0.048
Saint Martini Lutheran School,Private School,K-8,141,0.182,0.114,Meets Few Expectations,56.3,31,56.5,1,0.064,0.326,0.142,0.823
Milwaukee Environmental Science Academy,Public Charter School,K-8,295,0.062,0.011,Meets Few Expectations,56.3,15,67.9,0.966,0.105,0.007,0.919,0.061
Keefe Avenue Elementary,Milwaukee Public School,K-5,127,0.087,0.022,Meets Few Expectations,56.2,10,66,0.961,0.181,0,0.921,0.039
Escuela Verde,Public Charter School,9-12,120,0.169,0.06,Meets Few Expectations,55.9,18.2,53.7,0.817,0.258,0.408,0.058,0.85
Stellar Collegiate Charter School,Public Charter School,K-5,217,0.214,0.367,Meets Few Expectations,55.9,28.6,62.2,0.982,0.175,0.373,0.138,0.783
Gaenslen Elementary,Milwaukee Public School,K-8,677,0.065,0.028,Meets Few Expectations,55.6,7.7,63.2,0.932,0.49,0.004,0.809,0.097
Siefert Elementary,Milwaukee Public School,K-5,216,0.041,0.014,Meets Few Expectations,55.5,10.9,65.1,0.977,0.116,0.005,0.898,0.046
James Madison Academic Campus,Milwaukee Public School,9-12,595,0.031,0.028,Meets Few Expectations,55.5,10.2,67.9,0.879,0.255,0.017,0.894,0.032
Hope Christian School Caritas,Private School*,K-8,354,0.123,0.136,Meets Few Expectations,55.4,19.5,64.1,0.927,0.003,0,0.944,0.031
Pulaski High,Milwaukee Public School,9-12,945,0.051,0.02,Meets Few Expectations,54.6,12.5,66,0.822,0.232,0.412,0.315,0.513
Carter's Christian Academy Inc,Private School*,K-12,278,0,0.032,Meets Few Expectations,54.5,4.4,57.5,0.996,0.018,0,1,0
Engleburg Elementary,Milwaukee Public School,K-5,268,0.186,0.147,Meets Few Expectations,54.5,28.6,63.2,0.922,0.31,0,0.806,0.037
North Division High,Milwaukee Public School,9-12,389,0.009,0.009,Meets Few Expectations,54.5,9.8,73.6,0.907,0.283,0.005,0.915,0.046
Pratt Elementary,Milwaukee Public School,K-5,309,0.14,0.18,Meets Few Expectations,54.4,18.1,63.2,0.922,0.181,0,0.906,0.026
LaFollette Elementary,Milwaukee Public School,K-8,218,0.029,0.038,Meets Few Expectations,53.8,7.2,70.8,0.94,0.225,0.014,0.899,0.06
Fratney Elementary,Milwaukee Public School,K-5,474,0.282,0.161,Meets Few Expectations,53.3,29.2,52.7,0.715,0.114,0.297,0.2,0.662
Milwaukee Seventh Day Adventist School,Private School,K-12,138,0.164,0.109,Meets Few Expectations,53.2,22.3,51.8,1,0,0.638,0.304,0.514
South Division High,Milwaukee Public School,9-12,842,0.022,0.028,Meets Few Expectations,53.2,10.2,58.4,0.894,0.241,0.52,0.266,0.539
Milwaukee Excellence Charter School,Public Charter School,6-12,269,0.068,0.084,Meets Few Expectations,53.2,15.7,58.4,0.862,0.167,0,0.952,0.026
Parkview Elementary,Milwaukee Public School,K-5,335,0.183,0.262,Meets Few Expectations,53.1,24.3,60.3,0.89,0.179,0.275,0.519,0.042
Allen-Field Elementary,Milwaukee Public School,K-5,474,0.133,0.139,Meets Few Expectations,53,18,57.5,0.903,0.291,0.466,0.114,0.806
Congress Elementary,Milwaukee Public School,K-8,699,0.134,0.039,Meets Few Expectations,52.7,15.1,60.3,0.923,0.209,0,0.923,0.036
Westside Academy,Milwaukee Public School,K-5,157,0.265,0.245,Meets Few Expectations,52.5,21,56.5,0.955,0.236,0.006,0.873,0.045
River Trail School of Agricultural Science,Milwaukee Public School,K-8,403,0.092,0.04,Meets Few Expectations,52.4,14.9,55.6,0.935,0.233,0.03,0.794,0.062
Story Elementary,Milwaukee Public School,K-8,385,0.097,0.044,Meets Few Expectations,52.3,13.4,59.4,0.912,0.112,0.281,0.743,0.052
Central City Cyberschool,Public Charter School,K-12,378,0.156,0.113,Meets Few Expectations,52.3,17.4,66.9,0.968,0.053,0,0.971,0.021
Grandview High,Partnership,9-12,217,NA,NA,Meets Few Expectations,52.3,14.6,70.8,0.912,0.12,0.295,0.074,0.71
Forest Home Elementary,Milwaukee Public School,K-5,537,0.153,0.193,Meets Few Expectations,52.1,24.5,54.6,0.957,0.376,0.438,0.134,0.797
Holmes Elementary,Milwaukee Public School,K-8,289,0.083,0.076,Meets Few Expectations,52.1,10.2,65.1,0.969,0.308,0.01,0.917,0.035
Academy of Excellence,Private School*,K-12,2014,0.064,0.049,Meets Few Expectations,51.6,16.3,62.2,0.456,0.004,0.085,0.064,0.167
Hope Christian School Fortis,Private School*,K-8,360,0.098,0.067,Meets Few Expectations,51.5,14.9,61.3,0.936,0.017,0,0.958,0.019
Saint Joan Antida High School,Private School*,9-12,206,0.213,0.104,Meets Few Expectations,51.5,27.7,50.8,0.947,0,0.286,0.34,0.612
Clarke Street Elementary,Milwaukee Public School,K-8,223,0.094,0.047,Meets Few Expectations,51.3,9.9,68.9,0.978,0.188,0.004,0.973,0.022
Carmen Middle/High School of Science and Technology Northwest Campus,Public Charter School,6-12,586,0.11,0.106,Meets Few Expectations,51.2,19.3,51.8,0.974,0.157,0.014,0.874,0.051
